store_address,latitude,longitude
"Subway at 12701 Coastal Hwy, Unit 1, North Bay Shopping Center",38.4332,-75.0557
"Subway at 33260 Coastal Hwy, Seaside Village",38.52,-75.0554
"Subway at 750 Concourse Circle, Suite 101, Baltimore Crossroads @ 95",39.3595,-76.407
"Subway at 3009- A Eastern Blvd, Middle River Rd",39.336,-76.4096
"Subway at 5250 Campbell Blvd, BP Amoco C-Store",39.3702,-76.4535
"Subway at 5004 Honeygo Center Dr, Ste 101, Honeygo Village Center",39.4027,-76.4491
"Subway at 100 Back River Neck Rd, Tigermart",39.3125,-76.4487
"Subway at 1227 Eastern Boulevard, Eastern Boulevard Shopping Ctr",39.315,-76.4613
"Subway at 7201 Rossville Blvd. Bldg. B, CC of Baltimore Cnty-Essex",39.3533,-76.4827
"Subway at 8651 Belair Rd, Silver Spring Shopping Ctr",39.3903,-76.4889
"Subway at Magnolia Rd., Building E-4010, AAFES Foodcourt",39.3768,-76.2885
"Subway at 2244 A Hanson Rd,",39.4275,-76.2989
"Subway at 1401 Pulaski Hwy, #120E, Woodbridge Shopping Center",39.4328,-76.3245
"Subway at 3473 Merchant Blvd., Suite E",39.4654,-76.3123
"Subway at 8767 L Philadelphia Rd, Ross Village Shopping Ctr",39.3397,-76.4851
"Subway at 6322 Kenwood Ave,",39.3386,-76.5054
"Subway at 7698-A Belair Rd, Unit A",39.3673,-76.5177
"Subway at 1725 Chesaco Ave, Rosedale Plaza",39.3299,-76.5189
"Subway at 8001 Pulaski Hwy,",39.319,-76.511
"Subway at 2399 N Point Blvd, Wal-Mart #2435",39.2857,-76.4976
"Subway at 8834 Waltham Woods Rd, #8834, North Plaza Mall",39.3997,-76.5428
"Subway at 1632 E Joppa Rd,",39.3972,-76.5643
"Subway at 8335 Harford Road,",39.3802,-76.5371
"Subway at 1388 Taylor Avenue, Suite 102",39.3834,-76.5703
"Subway at 7609 Harford Road, Space 28, Parkville Shopping Center",39.3719,-76.5434
"Subway at 6109 Belair Road, Exxon C-Store",39.3491,-76.5363
"Subway at 2309 Cleanleigh Dr, Unit #4, Parkway Crossing Shopping Ctr",39.3724,-76.5659
"Subway at 5112 Sinclair Lane, ParkSide Shopping Center",39.3245,-76.5453
"Subway at 4412 Frankford Ave,",39.3379,-76.5509
"Subway at 7839 Eastern Avenue, F5, Eastpoint Mall",39.2936,-76.5089
"Subway at 1254 Putty Hill Road,",39.3965,-76.5797
"Subway at 819 Taylor Ave, Suite 7 UL, Loch Raven Plaza Shopping Ctr",39.3858,-76.5795
"Subway at 1722 East Northern Parkway, Loch Raven Shopping Center",39.3675,-76.5831
"Subway at 1700 E Cold Spring Lane, Morgan State University",39.3461,-76.5843
"Subway at 1413 Merritt Blvd, Dundalk Plaza Shopping Center",39.2768,-76.5036
"Subway at 7828 Wise Ave, Lynch Manor Shopping Ctr",39.2679,-76.4969
"Subway at 6500 D Eastern Avenue, Anchor Square Shopping Center",39.2888,-76.5361
"Subway at 4901 Erdman Ave, BP Gas Station/C-Store",39.3061,-76.559
"Subway at 5650 The Alameda, Alameda Marketplace",39.3594,-76.5953
"Subway at 6616 Holabird Ave, Holabird Park Shopping Center",39.2728,-76.5332
"Subway at 825 Dulaney Valley Rd, Space #3340, Towson Town Center",39.4039,-76.5992
"Subway at 400 York Rd,",39.3995,-76.6025
"Subway at 7601 Osler Drive, UMM St. Joseph Medical Center",39.3887,-76.6108
"Subway at 1407 York Rd, Ste 109, Galleria Atrium",39.4197,-76.6157
"Subway at 19 Shipping Place, Dundalk Building",39.2582,-76.5229
"Subway at 3691 Bladensburg Rd,",38.934,-76.9528
"Subway at 5516 Baltimore Avenue,",38.9562,-76.9401
"Subway at 3504 12th St NE,",38.9328,-76.9912
"Subway at 3500 East West Highway, Ste 1402, The Mall at Prince Georges",38.9679,-76.9575
"Subway at 6210 Annapolis Road, Wal-Mart #5129",38.9427,-76.9073
"Subway at 6535 N. Charles Street, Suite 135B, Physicians Pavilion North I",39.3908,-76.6225
"Subway at 7411 Baltimore Ave,",38.9812,-76.9376
"Subway at 333 Hawaii Ave, NE, Unit 3",38.9418,-77.0006
"Subway at 314 Riggs Rd NE, Fort Totten Square",38.9581,-77.0021
"Subway at 3732 Georgia Ave NW,",38.9368,-77.0247
"Subway at 2301-B Georgia Avenue NW, Howard University/Wonder Plaza",38.9206,-77.0219
"Subway at 3711 Campus Drive, Suite E, Domain College Park",38.9846,-76.9495
"Subway at Regents Drive Bldg. 84-Math &, Engineering Atrium, The University of Maryland",38.989,-76.9395
"Subway at 1201 Tuckerman Street NW,",38.9677,-77.0276
"Subway at 6731 Annapolis Rd, Crestview Square Shopping Ctr",38.9428,-76.9012
"Subway at 7539 Landover Rd,",38.9262,-76.8854
"Subway at 5000 Ellin Road, Cafateria, IRS New Carrollton",38.9495,-76.8725
"Subway at Terp zone food crt of Stamp, Adele H Stamp Student Union, University of Maryland",38.99,-76.94
"Subway at 8445 Annapolis Rd, Store 8445 D, Plaza 30 Shopping Center",38.958,-76.8684
"Subway at 1161 University Blvd, Hampshire-Langley S/C",38.9896,-76.9881
"Subway at 8484 Georgia Ave, Ste 110",38.9942,-77.0272
"Subway at 8040 13th St, Days Inn Hotel",38.9874,-77.0295
"Subway at 800 N Capital St NW,",38.9005,-77.0097
"Subway at 455 Massachusetts Ave. NW, 1st Floor, Mass Ave Office Bldg Foodcourt",38.901,-77.0176
"Subway at 2001 14th Street NW, 1st Floor",38.9172,-77.0316
"Subway at 3306 14th St NW, Samuel Kelsey Apartments",38.9304,-77.0328
"Subway at 1127 7th St NW, McCollough Plaza Downtown",38.9055,-77.0217
"Subway at 1613 17th St NW,",38.9117,-77.0383
"Subway at 7077 Martin Luther King Hwy,",38.9151,-76.8826
"Subway at 2469 18th Street NW,",38.9222,-77.0423
"Subway at 1605 Connecticut Ave NW,",38.9115,-77.0443
"Subway at 8401 Corporate Dr, Suite 150, Metro-Plex I",38.9465,-76.8619
"Subway at 7810 Central Ave,",38.8894,-76.8716
"Subway at 9201 Woodmore Centre Drive, Suite 412, Woodmore Towne Centre",38.922,-76.8472
