latitude,longitude
39.050000000000004,-84.24
42.300000000000004,-84.02
46.85,-96.86
36.58,-82.57000000000001
42.38,-88.06
42.06,-72.63
42.42,-76.52
43.31,-76.4
42.01,-88.14
34.04,-118.27
40.27,-74.54
32.8,-117.01
40.33,-79.74
32.11,-81.16
44.7,-73.48
44.230000000000004,-86.31
37.660000000000004,-82.78
36.09,-80.28
34.03,-118.24000000000001
32.87,-97.17
38.02,-87.57000000000001
42.77,-84.60000000000001
42.79,-96.93
47.61,-122.34
42.68,-89.05
40.44,-86.13
40.67,-74.12
40.86,-111.9
42.300000000000004,-71.4
36.45,-83.57000000000001
41.550000000000004,-87.14
39.92,-75.14
39.57,-105.08
35.76,-89.54
30.11,-95.55
42.59,-71.2
41.34,-81.53
30.5,-90.5
31.3,-92.48
42.26,-85.18
40.4,-104.76
33.93,-84.33
39.980000000000004,-75.22
32.2,-98.24000000000001
40.5,-111.9
39.92,-75.17
41.980000000000004,-87.91
34.77,-84.93
36.22,-86.69
29.91,-90.05
41.82,-87.93
41.88,-83.39
43.43,-70.77
41.050000000000004,-86.22
41.49,-87.05
43.29,-77.79
36.82,-76.22
42.46,-83.13
30.060000000000002,-99.17
44.84,-68.74
38.5,-90.33
40.86,-73.16
33.85,-79.07000000000001
36.76,-83.7
36.33,-86.7
42.19,-71.2
27.53,-82.5
28.03,-80.62
43.29,-91.8
40.14,-74.71000000000001
41.6,-93.62
38.83,-77.43
29.46,-98.69
36.33,-94.13
43.5,-96.77
37.300000000000004,-78.39
32.79,-96.75
34.1,-118.37
40.980000000000004,-76.02
40.12,-87.78
41.61,-83.7
43.35,-89.03
41.89,-87.63
42.59,-87.86
32.39,-83.36
40.07,-74.12
44.300000000000004,-121.56
37.550000000000004,-122.05
29.85,-95.51
35.81,-86.4
29.990000000000002,-90.36
42.53,-96.37
39.28,-76.82000000000001
33.54,-86.83
32.660000000000004,-97.14
40.83,-73.91
29.75,-95.8
42.88,-78.85000000000001
38.39,-81.82000000000001
29.32,-96.10000000000001
33.22,-96.63
35.17,-89.79
44.29,-90.83
35.08,-106.74000000000001
38.26,-122.07000000000001
41.6,-93.63
34.79,-92.23
33.62,-111.89
35.85,-83.99
32.22,-110.8
39.74,-104.86
40.730000000000004,-73.49
30.54,-97.56
43.6,-73.28
42.300000000000004,-83.29
34.980000000000004,-118.95
29.490000000000002,-98.44
44.49,-88.11
40.36,-75.98
32.88,-96.96000000000001
36.71,-81.93
37.61,-122.4
39.980000000000004,-76.68
27.64,-80.45
34.04,-118.29
36.86,-83.87
29.54,-98.41
36.17,-95.34
33.910000000000004,-81.23
41.95,-87.88
42.86,-77.0
41.85,-72.66
42.43,-83.11
45.75,-87.08
44.79,-93.22
42.74,-71.15
43.75,-87.82000000000001
34.62,-98.43
32.480000000000004,-84.94
37.77,-90.45
36.94,-86.42
38.78,-83.56
44.99,-93.11
27.92,-82.8
29.92,-95.60000000000001
42.53,-78.45
36.85,-76.28
40.81,-85.84
42.99,-73.85000000000001
26.61,-81.65
34.1,-117.91
38.18,-85.82000000000001
42.13,-71.52
41.58,-87.60000000000001
40.75,-74.19
33.38,-86.81
